datetime,"Discharge, cubic feet per second (mean)","data-value (approved, provisional, estimated) "
12/16/14,141,A
12/17/14,216,A
12/18/14,199,A
12/19/14,154,A
12/20/14,132,A
12/21/14,125,A
12/22/14,121,A
12/23/14,158,A
12/24/14,245,A
12/25/14,333,A
12/26/14,215,A
12/27/14,168,A
12/28/14,158,A
12/29/14,145,A
12/30/14,124,A
12/31/14,106,A
1/1/15,109,A
1/2/15,101,A
1/3/15,95.2,A
1/4/15,142,A
1/5/15,186,A
1/6/15,138,A
1/7/15,91.6,A:e
1/8/15,92.9,A:e
1/9/15,89.1,A:e
1/10/15,85.9,A:e
1/11/15,86.4,A:e
1/12/15,82.7,A:e
1/13/15,82.7,A:e
1/14/15,79.7,A:e
1/15/15,73.9,A:e
1/16/15,72.1,A:e
1/17/15,74.7,A:e
1/18/15,93.2,A:e
1/19/15,332,A:e
1/20/15,185,A
1/21/15,144,A
1/22/15,109,A
1/23/15,102,A:e
1/24/15,94.2,A
1/25/15,90.2,A
1/26/15,82.9,A:e
1/27/15,88.1,A:e
1/28/15,85.5,A:e
1/29/15,79.7,A:e
1/30/15,76.4,A:e
1/31/15,72.6,A:e
2/1/15,69.3,A:e
2/2/15,74.3,A:e
2/3/15,74.3,A:e
2/4/15,71.7,A:e
2/5/15,71.2,A:e
2/6/15,69.3,A:e
2/7/15,66.1,A:e
2/8/15,70.9,A:e
2/9/15,71.7,A:e
2/10/15,68.4,A:e
2/11/15,65,A:e
2/12/15,62.1,A:e
2/13/15,60.5,A:e
2/14/15,59,A:e
2/15/15,60.2,A:e
2/16/15,58.3,A:e
2/17/15,58.3,A:e
2/18/15,57.6,A:e
2/19/15,55.8,A:e
2/20/15,53.1,A:e
2/21/15,52.3,A:e
2/22/15,56.1,A:e
2/23/15,53.6,A:e
2/24/15,53.5,A:e
2/25/15,51.6,A:e
2/26/15,51,A:e
2/27/15,51,A:e
2/28/15,50.4,A:e
3/1/15,50.4,A:e
3/2/15,52.9,A:e
3/3/15,51.6,A:e
3/4/15,53.5,A:e
3/5/15,51.9,A:e
3/6/15,47.9,A:e
3/7/15,48.7,A:e
3/8/15,47.6,A:e
3/9/15,43.5,A:e
3/10/15,47.4,A
3/11/15,54.9,A:e
3/12/15,58.5,A:e
3/13/15,60.1,A:e
3/14/15,60.9,A:e
3/15/15,69.7,A:e
3/16/15,73.7,A:e
3/17/15,78.5,A:e
3/18/15,70.1,A:e
3/19/15,61.3,A:e
3/20/15,60.5,A:e
3/21/15,51.7,A:e
3/22/15,40.1,A:e
3/23/15,37.3,A:e
3/24/15,37.7,A:e
3/25/15,45.7,A:e
3/26/15,80.1,A:e
3/27/15,183,A:e
3/28/15,141,A:e
3/29/15,109,A:e
3/30/15,108,A:e
3/31/15,111,A:e
4/1/15,126,A:e
4/2/15,134,A:e
4/3/15,284,A
4/4/15,499,A
4/5/15,308,A
4/6/15,213,A:e
4/7/15,240,A:e
4/8/15,218,A:e
4/9/15,213,A:e
4/10/15,326,A:e
4/11/15,329,A
4/12/15,248,A:e
4/13/15,234,A:e
4/14/15,235,A
4/15/15,196,A
4/16/15,167,A
4/17/15,160,A
4/18/15,150,A
4/19/15,131,A
4/20/15,193,A
4/21/15,472,A
4/22/15,239,A
4/23/15,196,A
4/24/15,159,A
4/25/15,142,A
4/26/15,131,A
4/27/15,122,A
4/28/15,114,A
4/29/15,106,A
4/30/15,98.4,A
5/1/15,94.2,A
5/2/15,90.2,A
5/3/15,84.7,A
5/4/15,80.7,A
5/5/15,74.8,A
5/6/15,69,A
5/7/15,65.4,A
5/8/15,62.5,A
5/9/15,59.4,A
5/10/15,57.8,A
5/11/15,53.2,A
5/12/15,49.8,A
5/13/15,43.8,A
5/14/15,41.6,A
5/15/15,39.6,A
5/16/15,39,A
5/17/15,38.5,A
5/18/15,34.4,A
5/19/15,45.5,A
5/20/15,30.9,A
5/21/15,30.2,A
5/22/15,29.8,A
5/23/15,26.7,A
5/24/15,25.3,A
5/25/15,24.4,A
5/26/15,24.3,A
5/27/15,27.1,A
5/28/15,34.4,A
5/29/15,30.2,A
5/30/15,23.9,A
5/31/15,22.7,A
6/1/15,73.4,A
6/2/15,244,A
6/3/15,93,A
6/4/15,52.3,A
6/5/15,42.3,A
6/6/15,35,A
6/7/15,29.4,A
6/8/15,28.6,A
6/9/15,59.2,A
6/10/15,80.1,A
6/11/15,40.9,A
6/12/15,30.1,A
6/13/15,33.9,A
6/14/15,27.9,A
6/15/15,215,A
6/16/15,141,A
6/17/15,77.5,A
6/18/15,51.1,A
6/19/15,42.9,A
6/20/15,35.4,A
